Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,50,0,110.0,156.05101086000002,11.60829200000002,519.6157079999999,455.0,1.224726509396823,0.0,110,110,120,440,450,460,520,520,520,520,520
GET,/auth/me,33,0,13,906.1344987878782,1.4500420000000958,28881.773624999998,35.0,0.8083194962019031,0.0,13,21,23,28,43,560,29000,29000,29000,29000,29000
POST,/evaluate,89,0,10,353.79667510112347,2.210041000000107,28493.167167,651.0,2.180013186726345,0.0,10,15,30,37,48,77,700,28000,28000,28000,28000
GET,/health,218,0,12,45.81630577981644,1.85550000000001,683.4689999999997,226.0,5.339807580970148,0.0,12,20,30,35,71,300,400,510,680,680,680
GET,/model/drift,36,0,100.0,1755.9906018333336,6.326959000000132,29146.227458000005,305.0,0.8818030867657125,0.0,100,150,210,220,740,29000,29000,29000,29000,29000,29000
GET,/model/metrics,76,0,29,821.0727537894736,2.5130830000001936,29161.433375,781.0,1.8615842942831708,0.0,29,47,56,68,140,500,29000,29000,29000,29000,29000
GET,/model/status,39,0,16,813.6003023076921,1.7549580000002507,29068.547457999997,349.0,0.9552866773295219,0.0,16,37,44,57,420,670,29000,29000,29000,29000,29000
POST,/predict,66,0,31000.0,21717.977712696975,111.93037500000003,36546.507542,154.0,1.6166389924038063,0.0,31000,33000,33000,34000,34000,35000,35000,37000,37000,37000,37000
,Aggregated,607,0,23,2751.095518169687,1.4500420000000958,36546.507542,371.04283360790777,14.86817982407743,0.0,23,49,100,150,2400,32000,34000,34000,37000,37000,37000
